word,pronunciation,sense
孱头,càn•tou〈方〉,软弱无能的人（骂人的话）。
尺头,chǐ•tou〈方〉,布帛：一匹～。
锄头,chú•tou,①南方用的形状像镐的农具。②〈方〉锄。
搭头,dā•tou（～儿）,配搭的、非主要的东西：买了个大瓜，这个小瓜是～儿。
大舌头,dàshé•tou〈口〉①形舌头不灵活，说话不清楚：他说话有点儿～。②,指舌头不灵活，说话不清楚的人：他是个～。
当头,dànɡ•tou〈口〉,向当铺借钱时所用的抵押品。
调头,diào•tou〈方〉,①调子。②语气。
对头,duì•tou,①仇敌；敌对的方面：死～｜冤家～。②对手。
风头,fēnɡ•tou,①比喻形势的发展方向或与个人有利害关系的情势：避避～｜看～办事。②出头露面，显示个人的表现（含贬义）：出～｜～十足。
盖头,ɡài•tou,旧式婚礼新娘蒙在头上遮住脸的红绸布。
篙头,ɡāo•tou〈方〉,篙。
镐头,ɡǎo•tou,镐。
跟头,ɡēn•tou,①（人、物等）失去平衡而摔倒的动作：栽～。②身体向下弯曲而翻转的动作：翻～。
骨头,ɡǔ•tou,①人和脊椎动物体内支持身体、保护内脏的坚硬组织，主要成分是碳酸钙和磷酸钙。根据形状的不同，分为长骨、短骨、扁骨等。②比喻人的品质：懒～｜硬～。③〈方〉比喻话里暗含的不满、讽刺等意思：话里有～。
罐头,ɡuàn•tou,①〈方〉罐子。②罐头食品的简称，是加工后装在密封的铁皮罐子或玻璃瓶里的食品，可以存放较长的时间。
后头,hòu•tou,①方位词。后面u：楼～有一片果树林。②方位词。后面v：怎样预防的问题，～还要细谈。③〈方〉后来u。
花头,huā•tou〈方〉,①花纹。②花招：出～。③新奇的主意或办法：这些人里面就数他～最多。④奥妙的地方：这种游戏看起来简单，里面的～还真不少。
唤头,huàn•tou,街头流动的小贩或服务性行业的人（如磨刀的、理发的）用来招引顾客的各种响器。
贱骨头,jiànɡǔ•tou,①指不自尊重或不知好歹的人（骂人的话）。②指有福不会享而甘愿受苦的人（含戏谑意）。
浇头,jiāo•tou〈方〉,加在盛好的面条或米饭上面的菜。
脚指头,jiǎozhǐ•tou（口语中也读jiǎozhí•tou）〈口〉,脚趾。
䦆头,jué•tou〈方〉,刨土用的一种农具，类似镐（ɡǎｏ）。
扣头,kòu•tou,打折扣时扣除的金额。
盔头,kuī•tou,戏曲演员扮演角色时戴的各种帽子，着重于装饰性，按剧中人物的年龄、性别、身份、地位的不同而分别使用。
来头,lái•tou（～儿）,①来历（多指人的资历或背景）：这个人～不小。②来由；缘由（多指言语有所为而发）：他这些话是有～的，是冲着咱们说的。③来势：对方～不善，要小心应付。④做某种活动的兴趣：棋没有什么～，不如打球。
懒骨头,lǎnɡǔ•tou,懒惰的人（骂人的话）。
榔头,（狼头、𨱍头）lánɡ•tou,锤子（多指比较大的）。
浪头,lànɡ•tou,①〈口〉涌起的波浪：风大，～高。②比喻潮流：赶～。
里头,lǐ•tou,方位词。里边：屋子～坐满了人｜炉子～的煤已经烧得很红了。
笼头,lónɡ•tou,套在骡马等头上的东西，用皮条或绳子做成，用来系缰绳，有的并挂嚼子。
码头,mǎ•tou,①在江河沿岸及港湾内，供停船时装卸货物和乘客上下的建筑。②〈方〉指交通便利的商业城市：水陆～。
馒头,mán•tou,①面粉发酵后蒸成的食品，一般上圆而下平，没有馅儿。②〈方〉包子：肉～。
毛丫头,máoyā•tou〈口〉,指年幼无知的女孩子。
苗头,miáo•tou,略微显露的发展的趋势或情况：注意抓事故～。
木头,mù•tou,木材和木料的统称：一块～｜一根～｜～桌子。
念头,niàn•tou,心里的打算：转～｜邪恶的～。
盼头,pàn•tou,指可能实现的良好愿望：这年月呀，越活越有～啦！
匹头,pǐ•tou〈方〉,①指布或绸缎等剪好的成件或成套的衣料。②布匹。
姘头,pīn•tou,非夫妻关系而发生性行为的男女，也指有这种关系的男方或女方。
前头,qián•tou,方位词。前面。
俏头,qiào•tou,①烹调时为增加滋味或色泽而附加的东西，如香菜、青蒜、木耳、辣椒等。②戏曲、评书中引人喜爱的身段、道白或穿插。
饶头,ráo•tou〈口〉,多给的少量东西（多用于买卖场合）：这个小的是个～。
日头,rì•tou〈方〉,太阳。
软骨头,ruǎnɡǔ•tou,比喻没有气节的人。
上头,shànɡ•tou,方位词。上面。
舌头,shé•tou,①辨别滋味、帮助咀嚼和发音的器官，在口腔底部，根部固定在口腔底上。②指为侦察和了解敌情而活捉来的敌人：抓了个～。
石头,shí•tou,石。
手指头,shǒuzhǐ•tou（口语中也读shǒuzhí•tou）〈口〉,手指。
摔跟头,shuāiɡēn•tou①身体失去平衡而摔倒：雨后路滑，小心别～。②比喻遭受挫折或犯错误：欺世盗,的人早晚会～。
死对头,sǐduì•tou,无论如何也不能和解的仇敌。
榫头,sǔn•tou,竹、木、石制器物或构件上利用凹凸方式相接处凸出的部分。
