word,pronunciation,sense
矮子,ǎi•zi,个子矮的人。
庵子,ān•zi〈方〉,①小草屋：稻草～。②尼姑庵。
鞍子,ān•zi,放在牲口背上驮运东西或供人骑坐的器具，多用皮革或木头加棉垫制成。
案子,1àn•zi,一种旧式的狭长桌子或架起来代替桌子用的长木板：肉～｜裁缝～。
案子,2àn•zi,案件：审～｜办了一件～。
暗楼子,ànlóu•zi,屋内顶部可以藏东西的部分，在天花板上开一方口，临时用梯子上下。
八辈子,bābèi•zi,好几辈子，形容很深的程度或很长的时间：倒了～霉｜这都是～前的事儿了。
笆篱子,bālí•zi〈方〉,监狱。
把子,1bǎ•zi①,把东西扎在一起的捆子：秫秸～。②量a）人一群、一帮叫一把子（多含贬义）：一～土匪。b）一手抓起的数量，多用于长条形东西：一～韭菜。c）用于某些抽象的事物：加～劲儿。
把子,2bǎ•zi,戏曲中所使用的武器的总称，也指开打的动作：练～｜单刀～。
把子,3bǎ•zi,见32页〖拜把子〗。
靶子,bǎ•zi,练习射击或射箭的目标◇这出戏成为大家批评的～。
坝子,bà•zi,西南地区称平地或平原：
把子,bà•zi,把（bà）u。
𨃅子,bāi•zi〈方〉,腿脚有毛病、行动不方便的人；瘸子。
摆子,bǎi•zi〈方〉,疟疾：打～。
稗子,bài•zi,①一年生草本植物，叶子像稻，子实像黍米。是稻田害草。但子实可以酿酒或做饲料，有时也当做一种作物来栽培。②这种植物的子实。
扳子,bān•zi,扳手u。
班子,bān•zi,①剧团的旧称。②泛指为执行一定任务而成立的组织：领导～｜生产～。
板子,bǎn•zi,①片状的较硬的物体（多指木质的）。②旧时拷打或施行体罚用的长条形的木板或竹片。
半辈子,bànbèi•zi,指中年以前或中年以后的生活时间：前（或上）～｜后（或下）～｜当了～教员。
半彪子,bànbiāo•zi〈方〉,不通事理，行事鲁莽的人。
半吊子,bàndiào•zi,①不通事理，说话随便，举止不沉稳的人。②知识不丰富或技术不熟练的人。③做事不认真、有始无终的人。
绊子,bàn•zi,①摔跤的一种招数，用一只腿别着对方的腿使跌倒：使～。②系在牲畜腿上使不能快跑的短绳。
帮子,1bānɡ•zi,①白菜等蔬菜外层叶子较厚的部分：白菜～。②鞋帮。
梆子,bānɡ•zi,①打更等用的器具，空心，用竹子或木头制成。②打击乐器，用两根长短不同的枣木制成，多用于梆子腔的伴奏。③梆子腔：河北～。
膀子,bǎnɡ•zi,①胳膊的上部靠肩的部分，也指整个胳膊：光着～。②鸟类等的翅膀。
棒子,bànɡ•zi,①棍子（多指粗而短的）。②〈方〉玉米：～面。
包子,bāo•zi,食品，用菜、肉或糖等做馅儿，多用发面做皮，包成后，蒸熟。
雹子,báo•zi,冰雹的通称。
报子,bào•zi,①报告消息的人；探子（多见于旧戏曲、小说）。②旧时给得官、升官、考试得中的人家报喜而讨赏钱的人。③报单：贴～。
刨子,bào•zi,刮平木料用的手工工具。
豹子,bào•zi,豹的通称。
杯子,bēi•zi,盛饮料或其他液体的器具，多为圆柱状或下部略细，一般容积不大。
背子,bèi•zi〈方〉,用来背东西的细而长的筐子，山区多用来运送物品。
背搭子,bèidā•zi,出门时用来装被褥、什物等的布袋。也作被褡子。
被子,bèi•zi,睡觉时盖在身上的东西，一般用布或绸缎做面，用布做里子，装上棉花、丝绵、鸭绒等。
辈子,bèi•zi,一生：这～｜半～｜他当了一～教师。
褙子,bèi•zi〈方〉,袼褙：打～。
锛子,bēn•zi,削平木料的工具，柄与刃具呈丁字形，刃具扁而宽，使用时向下向里用力。
本子,běn•zi,①把成沓的纸装订在一起而成的东西；册子：笔记～。②版本：这两个～都是宋本。③演出的底本：写～｜改～。④指某些成本儿的证件：考～（通过考试取得驾驶证或其他合格证书）。
绷弓子,bēnɡɡōnɡ•zi,①装在门上用来自动关门的装置，用弹簧或竹片等制成。②〈方〉弹弓。
绷子,bēnɡ•zi,①刺绣时用来绷紧布帛的用具，大件用长方形的木框子，小件用竹圈：花～。②绷1：藤～｜～床。
镚子,bènɡ•zi〈口〉,原指清末不带孔的小铜币，十个当一个铜元，现在把小形的硬币叫钢镚子或钢镚儿。也叫镚儿。
鼻子,bí•zi,人或高等动物的嗅觉器官，也是呼吸器官的一部分，位于头部，有两个孔。
秕子,bǐ•zi,空的或不饱满的子粒：谷～。
笔杆子,bǐɡǎn•zi,①笔的手拿的部分。②指写文章的能力：耍～｜他嘴皮子、～都比我强。‖也说笔杆儿。③指擅长写文章的人。
篦子,bì•zi,用竹子制成的梳头用具，中间有梁儿，两侧有密齿。
鞭子,biān•zi,赶牲畜的用具：马～。
缏子,biàn•zi,草帽缏。
辫子,biàn•zi,①把头发分股交叉编成的条条儿：梳～。②像辫子的东西：蒜～。③比喻把柄：抓～｜揪住～不放。
表蒙子,biǎoménɡ•zi,装在表盘上的透明薄片。
别子,bié•zi,①线装书的套子上或字画手卷上用来别住开口的东西，多用骨头制成。②烟袋荷包的坠饰。
兵油子,bīnɡyóu•zi,旧时指久在行伍而油滑的兵。
饼子,bǐnɡ•zi,用玉米面、小米面等贴在锅上烙成的饼。
病秧子,bìnɡyānɡ•zi〈方〉,多病的人。
钵子,bō•zi〈方〉,钵。
脖子,bó•zi,头和躯干相连接的部分。
跛子,bǒ•zi,跛脚的人；瘸子。
堡子,bǔ•zi,①围有土墙的城镇或乡村。②泛指村庄。
步子,bù•zi,脚步：放慢～｜队伍的～走得很整齐。
𫗦子,bù•zi,婴儿吃的糊状食物。
簿子,bù•zi,记事或做练习等用的本子。
菜篮子,càilán•zi,盛菜的篮子，借指城镇的蔬菜、副食品的供应：经过几年的努力，本市居民的～问题已基本解决。
槽子,cáo•zi,槽。
艚子,cáo•zi,载货的木船，有货舱，舵前有住人的木房。
草甸子,cǎodiàn•zi〈方〉,长满野草的低湿地：前面是一大片～。
草垫子,cǎodiàn•zi,用稻草、蒲草等编的垫子。
册子,cè•zi,装订好的本子：相片～｜户口～｜写了几本小～（书）。
叉子,chā•zi,叉。
茬子,chá•zi,茬：刨～｜～地。
茶缸子,cháɡānɡ•zi,比较深的带把儿的茶杯，口和底一样大或差不多大。
汊子,chà•zi,分支的小河。
杈子,chà•zi,植物的分枝：树～｜打～（除去分枝）。
岔子,chà•zi,①岔路。②事故；错误：你放心吧，出不了～。
铲子,chǎn•zi,铲。
肠子,chánɡ•zi,肠的通称。
